Codename,Title,Actively Bug-Fixed by,Actively Maintained by,Notes,Non-bundled addon,Testing automation
sitemap_submit,XML Sitemap auto-submit,,,Out-dated as Google and Bing no longer have a method to auto-submit sitemaps.,No,async_tests/sitemap_submit automated test.
external_urls,"Recommended links on staff dashboard, and accuracy of external URLs in general",Composr Core Development Team,,Not regularly tested. Could potentially break due to third-party changes.,No,cli_tests/_broken_links automated test.
platform_modsecurity,ModSecurity,Composr Core Development Team,"PDStig, LLC",Not regularly tested. Could potentially break due to third-party changes.,No,Fake ModSecurity implemented in dev-mode.
platform_suhosin,Suhosin,Composr Core Development Team,,Not regularly tested. Could potentially break due to third-party changes.,No,
textmate,Textmate integration,Composr Core Development Team,,Needs to be separately tested. Needs a testing platform.,No,
theme_mobile_mode,Mobile mode support,Composr Core Development Team,Composr Core Development Team,Needs to be separately tested. Liable to break due to cross-cutting complexity.,No,
timezone_list,Timezone list,Composr Core Development Team,Composr Core Development Team,,No,
detect_bot,"Bot detection (user-agent list, IP safelist, and DNS safelist)",Composr Core Development Team,,Not regularly tested. Could potentially break due to third-party changes.,No,Partly tested by sync_tests/ua_detection automated test.
detect_mobile,Mobile user agent detection,Composr Core Development Team,,Not regularly tested. Could potentially break due to third-party changes.,No,Partly tested by sync_tests/ua_detection automated test.
standard_opengraph,Open Graph,Composr Core Development Team,,Not regularly tested. Could potentially break due to third-party changes.,No,
browser_firefox,Firefox support,Composr Core Development Team,Composr Core Development Team,Could potentially break due to third-party changes.,No,
browser_safari,Safari support,Composr Core Development Team,,Could potentially break due to third-party changes.,No,
browser_android_legacy,Android Browser support (pre-Chrome),Composr Core Development Team,,Not regularly tested. Could potentially break due to third-party changes.,No,
browser_ios,Mobile Safari (iOS) support,Composr Core Development Team,Composr Core Development Team,Could potentially break due to third-party changes.,No,
browser_android_chrome,Mobile Chrome (Android & iOS) support,Composr Core Development Team,Composr Core Development Team,Could potentially break due to third-party changes.,No,
browser_microsoft,IE/Microsoft Edge support,Composr Core Development Team,Composr Core Development Team,Could potentially break due to third-party changes.,No,
browser_blink,Chrome/Opera/Blink support,Composr Core Development Team,Composr Core Development Team,Could potentially break due to third-party changes.,No,
social_links,Basic social media / instant messenger linkage,Composr Core Development Team,,Not regularly tested. Could potentially break due to third-party changes.,No,
extra_logging,Permission/eCommerce/profile logging features,Composr Core Development Team,,Not fully manually tested.,No,Partly tested by sync_tests/extra_logging automated test.
context,Magic click / context menu features,Composr Core Development Team,,Not regularly tested.,No,
php,Maintain with new versions of PHP,Composr Core Development Team,Composr Core Development Team,Not regularly tested with versions below 7.4 or above 8.3. Could potentially break due to third-party changes.,No,
mysql,Maintain with new versions of MySQL,Composr Core Development Team,"PDStig, LLC",Not regularly tested with versions higher than 8.2. Could potentially break due to third-party changes.,No,
mariadb,Maintain support for MariaDB,Composr Core Development Team,"PDStig, LLC","Not regularly tested with versions above 10.11. Could potentially break due to third-party changes, although they do claim MySQL-compatibility.",No,
options_hidden,Hidden options,Composr Core Development Team,,Not regularly tested. Mostly intended for developers or very low-level configuration.,No,
options_dev,Development options in config_editor.php,Composr Core Development Team,,Not regularly tested.,No,
